DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/03/21,4,50,35,50,16,40,75,33
2017/03/22,2,63,38,58,21,27,77,36
2017/03/23,7,47,31,51,15,46,73,34
2017/03/24,6,58,31,60,13,30,74,45
2017/03/25,1,27,12,36,8,14,36,35
2017/03/26,1,20,12,20,7,12,22,16
2017/03/27,5,42,27,45,13,29,56,26
2017/03/28,3,47,33,46,15,29,73,39
2017/03/29,6,49,37,39,14,31,49,35
2017/03/30,7,59,38,60,14,35,85,45
2017/03/31,3,60,43,59,15,51,86,53
2017/04/01,1,27,18,28,7,17,40,27
2017/04/02,4,18,15,13,7,17,26,18
2017/04/03,4,36,32,43,10,30,55,30
2017/04/04,3,45,33,45,13,38,61,36
2017/04/05,7,65,34,60,32,52,92,37
2017/04/06,3,55,33,52,24,40,96,41
2017/04/07,7,70,31,67,20,36,123,40
2017/04/08,1,35,18,43,14,30,63,26
2017/04/09,2,18,9,24,4,14,34,22
2017/04/10,6,52,23,44,12,41,73,28
2017/04/11,5,45,33,49,22,43,77,34
2017/04/12,4,54,29,54,18,37,96,48
2017/04/13,2,54,30,47,19,39,77,34
2017/04/14,3,53,42,50,12,39,82,38
2017/04/15,0,21,12,23,7,15,33,19
2017/04/16,2,14,11,23,5,15,35,11
2017/04/17,4,46,34,33,18,28,45,26
2017/04/18,3,35,27,45,17,35,73,42
2017/04/19,3,44,31,40,15,27,50,45
2017/04/20,5,55,30,53,16,47,74,44
2017/04/21,6,57,34,54,22,44,78,46
2017/04/22,1,36,19,29,12,17,41,28
2017/04/23,1,15,7,21,6,12,31,15
2017/04/24,3,46,19,52,16,28,61,36
2017/04/25,7,52,52,63,14,34,92,50
2017/04/26,3,56,37,49,26,37,80,34
2017/04/27,4,60,32,55,21,47,84,49
2017/04/28,5,63,38,60,19,39,98,51
2017/04/29,1,28,19,32,14,16,44,32
2017/04/30,3,22,14,28,8,15,33,17
2017/05/01,0,37,26,33,13,29,59,29
2017/05/02,1,11,8,16,7,10,24,12
2015/02/18,1,3,3,2,0,1,3,2
2015/02/19,2,52,27,54,21,31,74,22
2015/02/20,4,46,38,64,11,41,75,23
2015/02/21,2,43,27,47,15,24,59,20
2015/02/22,1,31,22,28,6,19,54,19
2015/02/23,3,48,28,54,15,33,79,19
2015/02/24,8,45,24,59,16,38,76,25
2015/02/25,7,55,30,67,19,53,91,33
2015/02/26,1,59,42,62,21,61,94,24
2015/02/27,3,69,38,66,12,54,90,28
2015/02/28,3,31,19,46,12,29,68,12
2015/03/01,1,17,17,22,5,12,34,10
2015/03/02,5,43,20,59,13,38,80,21
2015/03/03,6,45,33,53,18,53,87,26
2015/03/04,9,49,40,56,18,51,91,25
2015/03/05,3,52,35,51,11,36,79,20
2015/03/06,4,44,33,72,26,50,84,23
2015/03/07,3,35,29,43,13,33,60,18
2015/03/08,2,34,19,28,11,18,42,14
2015/03/09,4,48,30,56,14,35,101,35
2015/03/10,2,40,33,48,13,35,77,25
2015/03/11,5,53,43,56,14,35,80,16
2015/03/12,3,45,33,58,21,41,94,22
2015/03/13,0,50,40,58,32,46,93,27
2015/03/14,2,37,24,37,18,33,52,16
2015/03/15,0,29,19,43,10,27,62,14
2015/03/16,4,63,49,76,13,50,95,35
2015/03/17,2,55,38,71,18,65,95,40
2015/03/18,1,53,33,64,21,45,95,40
2015/03/19,7,56,33,68,13,34,87,25
2015/03/20,4,57,47,59,18,48,85,30
2015/03/21,3,32,19,34,7,32,42,14
2015/03/22,2,16,9,25,4,10,46,14
2015/03/23,3,44,28,53,16,25,61,39
2015/03/24,3,40,27,42,15,30,64,28
2015/03/25,5,53,25,55,19,40,85,20
2015/03/26,5,46,28,59,16,40,76,14
2015/03/27,2,56,27,73,22,34,79,33
2015/03/28,1,26,13,28,12,18,38,14
2015/03/29,0,24,13,19,9,9,31,10
2015/03/30,4,49,30,52,13,31,59,26
2015/03/31,6,49,21,67,23,43,80,24
