DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/07/02,0,56,60,47,41,90,80,27
2015/07/03,1,58,40,31,19,85,73,17
2015/07/04,0,33,38,17,13,59,49,11
2015/07/05,0,41,40,13,11,42,51,12
2015/07/06,0,60,56,44,22,92,94,28
2015/07/07,2,71,67,39,25,137,97,27
2015/07/08,4,90,76,39,25,157,95,35
2015/07/09,6,60,53,40,30,94,109,27
2015/07/10,6,62,55,36,19,94,91,23
2015/07/11,1,42,39,24,19,74,67,17
2015/07/12,0,37,39,18,15,40,48,16
2015/07/13,1,63,49,37,20,113,89,24
2015/07/14,5,61,55,48,32,142,109,25
2015/07/15,5,75,63,39,18,141,102,38
2015/07/16,7,56,47,39,20,121,79,29
2015/07/17,3,62,51,39,11,104,78,20
2015/07/18,0,38,44,31,6,48,64,8
2015/07/19,0,35,42,24,6,52,62,12
2015/07/20,0,70,65,32,21,87,81,22
2015/07/21,1,79,73,36,16,138,111,35
2015/07/22,4,59,68,34,13,139,85,29
2015/07/23,2,64,46,34,22,112,97,25
2015/07/24,1,50,39,49,14,104,85,16
2015/07/25,0,32,37,20,9,59,58,17
2015/07/26,1,36,33,22,10,59,46,7
2015/07/27,1,56,61,37,22,86,83,14
2015/07/28,2,83,58,37,21,125,109,31
2015/07/29,3,54,59,38,15,139,85,32
2015/07/30,9,50,49,35,16,108,73,19
2015/07/31,4,44,51,31,20,106,67,26
2015/08/01,3,51,47,13,7,68,49,15
2015/08/02,0,41,39,11,9,49,47,13
2016/06/23,1,4,0,1,0,7,5,2
2016/06/24,2,53,33,34,33,117,89,40
2016/06/25,5,35,41,20,17,87,70,15
2016/06/26,0,32,29,13,15,46,40,14
2016/06/27,1,73,51,35,25,99,76,44
2016/06/28,1,54,45,52,20,133,97,49
