DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2017/03/03,5,52,18,28,16,25,43,25
2017/03/04,3,18,5,16,3,6,27,13
2017/03/05,2,39,10,25,11,15,47,22
2017/03/06,5,51,12,42,19,29,56,26
2017/03/07,7,47,22,33,16,28,72,32
2017/03/08,15,51,19,21,20,21,45,22
2017/03/09,18,38,15,14,10,24,37,29
2017/03/10,3,33,20,31,14,33,57,32
2017/03/11,6,19,11,33,5,19,33,19
2017/03/12,4,25,12,24,9,14,32,21
2017/03/13,2,48,25,41,8,27,37,32
2017/03/14,2,36,30,24,22,17,50,31
2017/03/15,9,49,25,44,13,20,70,39
2017/03/16,9,65,38,44,23,24,59,46
2017/03/17,2,45,22,38,8,21,66,28
2017/03/18,0,16,8,17,9,12,33,11
2017/03/19,0,12,6,14,3,14,33,10
2017/03/20,8,44,26,47,8,24,56,36
2017/03/21,6,41,21,39,6,29,52,35
2017/03/22,6,39,16,66,7,17,71,24
2017/03/23,8,45,15,60,7,25,67,16
2017/03/24,3,41,11,43,10,27,52,25
2017/03/25,3,11,5,22,4,16,30,14
2017/03/26,1,13,6,18,4,13,34,6
2017/03/27,3,28,24,43,7,30,56,19
2017/03/28,2,37,27,32,10,27,53,38
2017/03/29,4,31,21,24,15,36,51,37
2017/03/30,5,33,25,28,10,25,39,39
2017/03/31,6,31,16,43,16,24,54,39
2017/04/01,1,14,11,21,4,5,30,22
2017/04/02,1,10,5,11,1,7,23,14
2017/04/03,3,28,24,33,6,16,51,24
2017/04/04,5,40,17,51,9,33,69,26
2017/04/05,4,48,24,44,19,26,68,18
2017/04/06,1,44,20,44,11,32,73,40
2017/04/07,3,41,10,64,5,20,107,25
2017/04/08,1,18,6,24,2,8,53,7
2017/04/09,1,9,10,39,7,18,63,9
2017/04/10,0,27,14,41,16,29,64,20
2017/04/11,3,28,22,41,10,31,67,17
2017/04/12,5,29,18,33,8,14,69,32
2017/04/13,2,36,19,42,8,22,85,23
2017/04/14,1,32,17,23,13,21,51,28
2017/04/15,2,11,6,21,4,10,36,7
2017/04/16,1,13,6,14,1,9,26,13
2017/04/17,1,26,17,18,3,23,47,25
2017/04/18,4,33,18,30,3,30,54,51
2017/04/19,4,28,20,29,9,29,61,40
2017/04/20,3,35,22,43,21,40,59,34
2017/04/21,2,52,23,39,10,33,67,39
2017/04/22,1,10,9,11,0,5,20,8
2017/04/23,1,21,7,23,3,11,30,17
2017/04/24,3,40,24,32,13,21,57,42
2017/04/25,6,28,17,33,8,28,68,31
2017/04/26,2,41,10,29,11,20,61,28
2017/04/27,2,41,23,36,11,30,57,32
2017/04/28,6,38,29,48,17,32,66,42
2017/04/29,0,17,15,22,10,12,35,16
2017/04/30,2,16,10,14,2,11,26,13
2017/05/01,1,31,20,42,15,21,60,33
2017/05/02,2,30,20,41,5,31,67,39
2017/05/03,8,31,24,43,11,23,58,50
2017/05/04,3,28,16,43,14,25,51,38
2017/05/05,1,42,17,35,18,24,46,33
2017/05/06,3,19,9,20,3,11,23,12
2017/05/07,3,20,5,23,3,4,19,22
2017/05/08,8,40,21,38,18,17,48,49
2017/05/09,5,40,17,35,11,25,67,44
2017/05/10,13,35,17,38,13,28,52,73
2017/05/11,7,31,15,33,8,26,47,50
2017/05/12,10,33,24,35,11,32,42,34
2017/05/13,11,18,8,11,4,12,18,15
2017/05/14,5,14,3,7,1,6,23,18
2017/05/15,16,32,17,16,9,16,39,27
2017/05/16,18,36,15,41,8,35,61,40
2017/05/17,8,41,14,38,13,31,52,44
2017/05/18,5,44,19,32,8,34,51,61
2017/05/19,4,39,16,41,7,30,63,48
2017/05/20,1,18,10,17,0,15,31,20
2017/05/21,1,9,6,26,3,5,24,13
2017/05/22,2,28,17,37,8,19,47,23
2017/05/23,8,41,18,72,11,29,93,37
2017/05/24,8,37,18,47,5,21,50,27
2017/05/25,3,31,17,39,12,38,60,33
2017/05/26,5,33,19,33,8,25,49,20
2017/05/27,3,16,6,25,9,13,36,22
2017/05/28,3,11,6,17,5,8,24,7
2017/05/29,4,23,24,30,10,15,45,15
2017/05/30,3,40,21,24,8,21,52,22
2017/05/31,2,40,37,36,11,18,49,42
2017/06/01,2,35,57,34,17,24,54,31
2017/06/02,5,36,50,40,13,17,47,32
2017/06/03,4,12,18,25,9,9,32,12
2017/06/04,1,15,5,51,5,10,52,12
2017/06/05,3,23,15,72,9,27,64,26
2017/06/06,11,36,25,66,11,26,66,40
2017/06/07,14,39,30,72,8,31,93,49
2017/06/08,9,26,25,32,5,36,56,44
2017/06/09,4,26,31,46,8,22,58,68
2017/06/10,0,16,10,28,5,8,32,16
2017/06/11,0,13,5,29,8,13,29,24
2017/06/12,2,36,24,44,17,28,60,37
2017/06/13,5,33,30,40,12,28,44,47
2017/06/14,5,31,20,33,7,20,59,21
2017/06/15,3,36,21,32,5,24,49,38
2017/06/16,3,31,13,37,6,39,58,43
2017/06/17,2,20,6,16,3,14,27,11
2017/06/18,0,20,8,22,1,10,25,7
2017/06/19,4,31,17,52,8,23,66,17
2017/06/20,2,38,31,45,12,26,62,29
2017/06/21,9,48,29,49,12,24,52,30
2017/06/22,5,34,25,51,8,30,60,32
2017/06/23,4,38,22,34,16,37,70,26
2017/06/24,3,15,12,27,7,10,34,4
2017/06/25,5,16,10,17,5,12,25,8
2017/06/26,8,48,25,38,19,21,50,25
2017/06/27,8,36,20,30,10,22,52,21
2017/06/28,13,30,12,26,5,27,51,21
2017/06/29,4,36,25,30,12,21,53,23
2017/06/30,4,36,18,37,14,19,48,14
2017/07/01,1,14,4,29,7,13,31,5
2017/07/02,2,10,7,18,1,6,34,4
2017/07/03,1,18,18,36,11,10,36,26
2017/07/04,2,17,13,26,9,9,46,12
2017/07/05,3,23,15,28,8,11,42,14
2017/07/06,10,36,36,39,14,22,74,20
