DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2016/10/08,2,14,8,8,3,14,10,4
2016/10/09,1,17,6,8,2,10,18,7
2016/10/10,2,19,11,15,2,10,18,3
2016/10/11,1,12,2,8,2,9,13,2
2016/10/12,0,15,5,10,1,16,23,4
2016/10/13,2,8,2,10,1,6,16,5
2016/10/14,0,11,6,12,3,10,18,3
2016/10/15,1,12,2,5,2,9,10,2
2016/10/16,0,8,2,6,2,9,15,4
2016/10/17,3,8,9,11,2,16,28,5
2016/10/18,0,18,5,11,5,13,16,1
2016/10/19,3,17,4,5,4,9,19,5
2016/10/20,3,22,9,12,4,17,22,2
2016/10/21,0,20,7,6,5,10,27,4
2016/10/22,0,9,2,6,2,9,7,3
2016/10/23,0,4,1,3,0,8,10,1
2016/10/24,0,16,6,8,2,8,17,2
2016/10/25,1,26,10,9,0,14,24,7
2016/10/26,1,13,10,9,2,14,19,3
2016/10/27,1,18,8,5,4,10,12,3
2016/10/28,3,16,11,9,4,15,27,7
2016/10/29,0,6,1,3,1,7,16,4
2016/10/30,0,11,4,7,1,7,13,2
2016/10/31,3,11,6,7,4,13,14,9
2016/11/01,2,12,11,6,4,11,19,9
2016/11/02,4,11,4,5,2,7,16,4
2016/11/03,1,17,4,5,5,13,18,6
2016/11/04,2,12,4,7,2,6,12,9
2016/11/05,2,10,4,7,1,5,16,6
2016/11/06,4,12,6,7,1,6,14,3
2016/11/07,3,14,9,10,2,13,22,11
2016/11/08,2,15,7,5,3,14,12,12
2016/11/09,0,15,11,7,7,9,19,31
2016/11/10,1,14,4,12,8,5,17,19
2016/11/11,3,12,7,11,5,5,16,14
2016/11/12,2,8,9,7,3,8,10,13
2016/11/13,1,16,7,8,3,8,24,11
2016/11/14,2,16,6,6,3,13,17,15
2016/11/15,2,17,4,6,2,18,13,4
2016/11/16,0,23,9,7,2,7,18,3
2016/11/17,0,24,10,11,5,14,17,8
2016/11/18,2,13,3,7,2,8,12,5
2016/11/19,0,13,8,9,3,8,22,2
2016/11/20,0,7,6,8,1,2,15,8
2016/11/21,0,15,8,12,2,10,20,6
2016/11/22,2,19,9,9,4,16,20,6
2016/11/23,0,17,4,8,3,21,14,5
2016/11/24,1,19,5,16,9,20,23,8
2016/11/25,2,15,2,7,1,7,17,1
2016/11/26,1,5,4,8,4,5,10,1
2016/11/27,2,8,7,9,2,2,16,5
2016/11/28,3,18,12,11,7,9,21,14
2016/11/29,0,25,14,14,2,13,26,6
2016/11/30,3,21,12,15,3,12,28,6
2016/12/01,1,22,13,13,3,10,20,5
2016/12/02,4,21,10,13,4,17,29,6
2016/12/03,0,8,1,7,1,7,11,5
2016/12/04,2,19,5,6,4,6,13,6
2016/12/05,0,15,9,13,7,18,21,7
2016/12/06,2,22,12,16,6,27,30,14
2016/12/07,1,25,12,12,6,18,30,3
2016/12/08,2,25,12,13,5,17,26,7
2016/12/09,1,20,11,18,4,22,33,10
2016/12/10,2,13,3,7,4,12,14,5
2016/12/11,1,8,2,9,2,1,15,2
2016/12/12,4,23,14,19,7,21,33,2
2016/12/13,2,19,6,9,1,10,26,5
2016/12/14,4,15,10,17,4,15,27,6
2016/12/15,1,19,5,11,3,9,23,3
2016/12/16,0,20,11,8,3,19,21,5
2016/12/17,1,12,5,9,1,15,14,1
2016/12/18,0,12,6,7,0,6,15,0
2016/12/19,1,18,9,14,3,20,19,1
2016/12/20,1,22,8,31,3,19,31,3
2016/12/21,1,22,8,19,4,28,25,2
2016/12/22,4,27,7,28,5,24,30,5
2016/12/23,0,19,8,24,1,20,34,5
2016/12/24,2,17,4,8,1,10,15,2
2016/12/25,0,5,2,8,0,4,11,0
2016/12/26,1,11,3,5,6,11,15,1
2016/12/27,0,19,5,9,1,10,20,1
2016/12/28,0,13,6,8,2,13,18,0
2016/12/29,0,20,8,9,5,13,22,3
2016/12/30,5,16,12,17,4,10,24,7
2016/12/31,3,17,11,12,3,15,21,3
2017/01/01,2,11,3,6,1,7,10,1
2017/01/02,0,6,5,10,1,12,13,1
2017/01/03,3,14,12,16,5,19,20,4
2017/01/04,0,21,11,21,1,23,29,6
2017/01/05,2,13,9,12,5,15,20,5
2017/01/06,1,8,9,11,4,8,19,2
2017/01/07,2,13,5,10,3,15,13,2
2017/01/08,1,10,4,8,3,10,9,4
2017/01/09,2,21,9,14,5,15,15,5
2017/01/10,2,21,10,13,1,22,25,2
2017/01/11,2,10,6,7,1,9,15,5
2017/01/12,2,14,7,12,4,18,22,3
2017/01/13,7,25,16,9,4,17,26,7
