DATA,ATTACCHI INFORMATICI E INTERNET,MIGRAZIONE,AMBIENTE,TERRORISMO,VIOLENZA DI GENERE E DISCRIMINAZIONE,ORGANIZZAZIONI CRIMINALI,GUERRA E PACE,ELEZIONI
2015/07/02,2,50,29,41,5,44,50,21
2015/07/03,0,22,20,31,4,33,39,8
2015/07/04,0,15,8,18,3,15,27,9
2015/07/05,2,12,4,14,1,6,18,6
2015/07/06,3,41,14,30,11,40,44,15
2015/07/07,1,43,24,37,4,33,48,14
2015/07/08,4,45,14,35,12,42,42,18
2015/07/09,2,44,23,31,11,34,46,11
2015/07/10,2,53,23,29,5,30,46,11
2015/07/11,2,20,9,16,2,11,29,1
2015/07/12,0,16,10,13,7,15,22,9
2015/07/13,1,28,17,22,5,33,41,13
2015/07/14,2,42,19,27,7,39,55,12
2015/07/15,2,29,21,23,9,42,38,18
2015/07/16,2,36,12,28,7,41,58,17
2015/07/17,4,37,20,29,3,45,33,7
2015/07/18,1,19,11,19,3,24,35,3
2015/07/19,4,16,8,13,4,15,20,6
2015/07/20,2,32,18,24,3,32,52,13
2015/07/21,4,32,16,30,5,39,43,15
2015/07/22,2,29,16,30,6,30,45,11
2015/07/23,3,42,26,17,6,49,32,5
2015/07/24,1,44,18,36,13,40,55,11
2015/07/25,1,9,11,16,3,17,16,4
2015/07/26,0,12,10,14,2,17,24,4
2015/07/27,1,34,20,26,4,44,39,17
2015/07/28,3,45,20,36,6,41,57,13
2015/07/29,2,34,14,22,5,35,42,13
2015/07/30,0,43,31,33,12,43,47,14
2015/07/31,1,32,16,24,2,40,32,9
2015/08/01,1,16,8,11,7,16,21,7
2015/08/02,2,18,8,3,4,17,16,5
2015/08/03,5,32,23,22,3,40,36,9
2015/08/04,1,37,16,27,8,32,35,12
2015/08/05,4,35,19,26,8,38,41,5
2015/08/06,3,45,19,20,12,31,38,8
2015/08/07,2,22,16,19,1,38,37,11
2015/08/08,2,15,7,9,3,11,19,5
2015/08/09,3,16,9,9,4,24,23,6
2015/08/10,1,29,21,18,2,38,45,13
2015/08/11,2,38,15,26,6,21,36,18
2015/08/12,1,28,17,25,7,32,38,15
2015/08/13,3,40,20,32,5,37,45,18
2015/08/14,2,40,18,24,5,36,41,10
2015/08/15,1,19,7,13,3,12,35,5
2015/08/16,0,12,12,7,1,9,22,5
2015/08/17,0,25,18,13,6,29,33,8
2015/08/18,2,39,23,14,9,28,36,14
2015/08/19,5,45,27,29,14,41,49,8
2015/08/20,6,28,19,25,13,33,42,14
2015/08/21,2,40,17,29,11,34,50,15
2015/08/22,0,9,7,10,3,18,25,1
2015/08/23,1,17,6,12,2,13,24,2
2015/08/24,3,31,20,18,5,36,43,9
2015/08/25,3,44,28,18,8,46,37,8
2015/08/26,1,38,9,22,7,32,47,8
2015/08/27,1,36,21,21,8,31,36,15
2015/08/28,4,35,18,25,10,44,45,10
2015/08/29,0,25,9,17,4,19,29,5
2015/08/30,0,16,9,9,3,12,23,4
2015/08/31,3,25,22,19,3,25,43,11
2015/09/01,5,36,20,12,9,35,35,20
2015/09/02,1,60,27,26,4,43,54,19
